Federal Provider Number,Number of hospitalizations per 1000 long-stay resident days,Number of outpatient emergency department visits per 1000 long-stay resident days,Percentage of short-stay residents who had an outpatient emergency department visit,Percentage of short-stay residents who were rehospitalized after a nursing home admission
015009,0.888825,0.298808,2.159487,19.653524
015010,2.226671,0.894101,10.76226,16.512389000000002
015012,0.5966239999999999,0.970204,16.144220999999998,18.882362
015015,2.420352,0.593651,6.027908999999998,17.828035999999994
015016,0.865714,1.009416,15.817360999999998,23.075948
015019,0.747786,0.444448,8.561367,18.331568
015023,0.4734640000000001,0.530713,0.0,18.27397
015024,1.882026,0.992537,15.283963,22.099207
015027,1.080911,0.5557810000000001,2.731045,24.751709
015028,1.502897,0.5784699999999999,13.89023,32.153946000000005
015031,0.916977,0.07977200000000001,5.463988,17.524529
015032,1.053169,0.995915,19.922483,23.66261
015034,1.136299,0.27581,8.937766,19.475781
015035,2.799144,1.68303,10.825814,24.561372
015042,0.914098,0.982573,10.585779,21.42973
015044,1.475688,1.472875,21.90917,28.460793
015047,2.920841,0.395174,3.678172,22.070868
015049,1.785068,0.902387,16.132545,31.261774
015053,1.0509879999999998,0.467048,5.893057,20.599073
015063,1.626923,0.6498550000000001,12.480169,25.300185
015065,0.733772,0.597969,15.457126,23.97474
015066,0.975708,0.562497,11.498361,22.467794
015067,1.551858,0.810244,19.426108,24.428515
015073,1.011073,0.664725,12.618767,25.827272
015075,1.330218,0.474976,9.01369,17.497342
015076,1.491461,0.487266,13.399403,24.358914
015083,1.6779689999999998,1.157604,14.517801,27.856357
015084,3.015841,0.871358,6.802485000000001,27.557939
015089,2.098346,0.512598,3.978443,19.772762
015091,1.863425,1.041491,12.830698,24.542635
015100,1.654049,0.506696,9.464388,20.907286
015103,2.154215,1.130582,18.201447,28.317137
015111,1.579038,0.8919739999999999,13.416109,23.890124
015113,1.301283,1.003771,12.628209,15.585792
015114,2.688243,0.784483,12.631736,27.606046000000006
015115,2.280001,0.496944,17.985870000000006,25.98761
015116,2.48359,0.493184,9.712753,25.447548
015117,2.427025,0.757387,11.589624,28.690776
015119,2.177873,0.887735,4.596017,17.290972
015120,2.138144,1.631438,12.674066,24.79848
015121,1.384755,0.0,3.322968,12.25673
015126,1.036562,0.579902,12.54998,22.037128
015127,1.493311,0.783578,11.484091,36.081152
015128,0.941601,0.781637,12.176117,22.590423
015129,1.384123,1.132826,3.840386,16.768179
015132,2.035623,0.800469,13.060138,24.393867
015133,1.290885,0.652809,13.665487,26.50265
015134,1.187607,0.462117,12.258229,25.472678
015137,1.555913,0.384378,2.92435,19.30772
015138,1.223775,0.364583,8.814558,15.653402
015139,1.475422,1.1401370000000002,5.933041,25.901835
015141,3.080316,0.481753,2.741863,22.682796
