Federal Provider Number,Percentage of high risk long-stay residents with pressure ulcers,Percentage of long-stay residents assessed and appropriately given the pneumococcal vaccine,Percentage of long-stay residents assessed and appropriately given the seasonal influenza vaccine,Percentage of long-stay residents experiencing one or more falls with major injury,Percentage of long-stay residents who have depressive symptoms,Percentage of long-stay residents who lose too much weight,Percentage of long-stay residents who received an antianxiety or hypnotic medication,Percentage of long-stay residents who received an antipsychotic medication,Percentage of long-stay residents who were physically restrained,Percentage of long-stay residents whose ability to move independently worsened,Percentage of long-stay residents whose need for help with daily activities has increased,Percentage of long-stay residents with a catheter inserted and left in their bladder,Percentage of long-stay residents with a urinary tract infection,Percentage of low risk long-stay residents who lose control of their bowels or bladder,Percentage of short-stay residents assessed and appropriately given the pneumococcal vaccine,Percentage of short-stay residents who made improvements in function,Percentage of short-stay residents who newly received an antipsychotic medication,Percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine
015009,7.878788,100.0,100.0,2.094241,1.098901,6.249999,37.362636,9.392264,0.0,25.775225,14.7929,0.408016,0.5405399999999999,70.0,97.761194,88.87871899999998,0.0,98.159509
015010,17.741937,100.0,98.496241,5.426357,1.287555,7.053944,21.052631,38.235295,0.0,13.025864,8.482142999999999,2.771717,4.780875,42.028986,90.526314,66.674368,0.0,94.545455
015012,6.31579,74.13793299999998,100.0,5.172415,0.0,8.080808,27.722773,5.263158,0.0,36.843385,9.374999,3.98266,10.526318,68.96551600000001,88.745983,72.120704,0.921659,91.036415
015015,13.888892000000002,100.0,100.0,5.067568,0.0,13.875597,49.321267,37.588652,0.0,9.658123,10.144926,0.810775,3.886926,34.444446,99.45946,60.53759,1.2195120000000002,100.0
015016,5.462187,95.142857,84.577114,3.4285690000000004,0.602409,9.252666,23.762377,14.029849,0.0,11.733634,9.523809,3.928318,3.726709,42.25352,84.307689,85.980985,2.058319,70.124481
015019,4.5000019999999985,89.69072299999998,97.904192,2.061855,0.0,5.62249,17.968751,20.454544,0.0,22.54805,17.412936,0.0,0.0,0.0,86.915886,49.930154,1.948052,78.181818
015023,8.710801,100.0,99.118943,0.501252,2.9255310000000003,5.820105,26.246716,32.299739,0.0,12.420872,9.467459,3.527483,3.787877,79.787235,93.975905,76.883201,0.0,89.36170200000002
015024,9.310346,90.719259,96.586345,6.960560000000001,0.0,9.113922,31.392403,25.183375,0.0,12.474003,11.813185,1.60077,16.00928,37.500001,81.707319,89.928015,8.18182,83.602151
015027,11.353714,97.790055,42.966752,3.038672,0.0,1.201203,29.88506,22.713865,0.0,10.542051,9.294871,0.0,3.179191,52.380952,93.31551,82.708076,0.0,79.487179
015028,4.2735059999999985,83.682006,96.666667,4.60251,0.0,9.424086,27.510919,33.505156,0.0,20.608627,16.826923,0.0,1.485148,9.677417,32.456140000000005,43.590022,2.777778,31.578947
