Federal Provider Number,Code B,Code C,Code D,Code E,Code F,Code G,Code H,Code I,Code J,Code K,Code L
015009,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
015010,0.0,1.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015012,0.0,0.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
015014,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015015,0.0,3.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015016,0.0,0.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015019,0.0,1.0,7.0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0
015023,0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015024,0.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
015027,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015028,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015031,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015032,0.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,2.0,9.0,0.0
015034,0.0,2.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015035,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015037,0.0,1.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
015040,0.0,0.0,20.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
015042,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
015044,0.0,1.0,5.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0
015045,0.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015047,0.0,0.0,9.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
015048,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
015049,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
015050,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
015053,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
015060,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015063,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015065,0.0,3.0,20.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015066,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
015067,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
015071,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015073,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015075,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015076,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
015083,0.0,1.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015084,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
015089,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015091,0.0,2.0,6.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
015097,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
015098,0.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015100,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015101,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015103,0.0,3.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015104,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
