Federal Provider Number,Overall Rating,Reported Nurse Aide Staffing Hours per Resident per Day,Reported LPN Staffing Hours per Resident per Day,Reported RN Staffing Hours per Resident per Day,Total number of nurse staff hours per resident per day on the weekend,Registered Nurse hours per resident per day on the weekend,Reported Physical Therapist Staffing Hours per Resident Per Day,Total nursing staff turnover,Registered Nurse turnover,Number of administrators who have left the nursing home,Total Health Revisits,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Citations from Infection Control Inspections
015009,5.0,,,,,,,,,,2,0,0,0.0
015010,4.0,2.376,0.74111,0.8983399999999999,3.22221,0.5202100000000001,0.00974,52.4,21.4,1.0,3,0,0,0.0
015012,1.0,,,,,,,,,,3,0,0,0.0
015014,4.0,2.00442,0.94553,0.45553,2.81626,0.31108,0.017740000000000002,,,,3,0,0,0.0
015015,3.0,2.1668,1.08185,0.35595,3.63016,0.2721,0.01017,51.3,60.0,4.0,3,0,1,0.0
015016,2.0,2.024,0.63457,0.69262,2.66442,0.35895,0.053320000000000006,57.0,52.6,1.0,3,3,3,0.0
015019,1.0,2.03286,0.92346,0.43914,2.89218,0.28047,0.055560000000000005,62.8,45.5,1.0,3,0,4,0.0
015023,5.0,1.92746,0.8273299999999999,0.95302,3.08051,0.67608,0.00348,50.0,30.4,0.0,2,2,0,0.0
015024,2.0,1.77465,0.94712,0.38721,2.5348900000000003,0.16504000000000002,0.01135,38.9,20.0,1.0,3,0,1,0.0
015027,5.0,2.59137,0.98026,0.27581999999999995,3.48945,0.16180999999999998,0.02215,65.8,72.7,7.0,2,0,0,0.0
015028,3.0,1.5318200000000002,0.7267399999999999,0.8392,2.60828,0.37636,0.00938,49.4,26.7,0.0,3,0,0,0.0
015031,4.0,1.63775,0.98503,0.73359,2.89027,0.3799300000000001,0.03954,41.5,23.1,5.0,3,0,0,0.0
015032,1.0,1.6806299999999998,0.58382,0.6847,2.55907,0.51046,0.03119,56.7,50.0,1.0,3,2,2,0.0
015034,5.0,2.29433,0.72587,0.66519,2.785,0.21551,0.06026,44.3,40.0,1.0,3,0,0,0.0
015035,4.0,2.62518,1.18028,0.5613600000000001,3.63374,0.27623000000000003,0.03991,57.6,16.7,0.0,3,0,0,0.0
015037,2.0,2.06082,0.67378,0.6772600000000001,2.84826,0.44631,0.025730000000000003,40.9,16.7,3.0,3,0,1,0.0
015040,2.0,1.7486700000000002,0.78345,0.55066,2.66838,0.42647,0.05246,58.0,40.0,0.0,3,2,2,0.0
015042,2.0,2.0833,0.70316,0.48626,2.78658,0.24309,0.01231,43.9,63.6,0.0,3,0,0,0.0
015044,1.0,2.62054,0.93352,0.7516,3.2523,0.30804000000000004,0.01229,,,2.0,3,1,2,0.0
015045,4.0,2.53574,1.54857,0.42045,3.72407,0.15531,0.0,42.9,14.3,0.0,2,0,0,0.0
015047,3.0,2.19207,0.64222,0.39153,2.49295,0.21821,0.04117,49.4,53.8,2.0,3,0,0,0.0
015048,5.0,2.41275,1.18267,0.44358,3.3575800000000005,0.17711,0.05694,53.8,64.3,0.0,2,0,0,0.0
015049,4.0,1.86907,0.76564,0.93661,3.0876,0.72438,0.07567,57.6,45.0,0.0,3,0,0,1.0
015050,2.0,1.89705,0.96,0.37184,2.55551,0.16555999999999998,0.0093,46.6,55.6,0.0,3,0,2,0.0
015053,5.0,2.4197900000000003,1.25786,0.7703,3.4516,0.52974,0.04647,45.9,8.3,1.0,2,2,2,2.0
015060,4.0,1.90277,1.002,0.27959,2.74487,0.27144,0.00987,58.2,40.0,0.0,3,0,0,0.0
015063,5.0,1.8503,0.62434,0.81728,2.70545,0.56138,0.04131,46.8,38.9,0.0,3,0,0,1.0
015065,1.0,2.4917,0.94363,0.46675,3.03,0.22751,0.03777,67.3,78.3,3.0,3,7,4,2.0
015066,5.0,1.77383,0.8620899999999999,1.1403,2.8383,0.49918,0.04414,55.2,50.0,1.0,1,0,0,0.0
015067,4.0,1.96449,0.77455,0.85454,2.97055,0.44587,0.03038,63.0,54.5,0.0,3,0,1,0.0
015071,5.0,2.61912,1.15255,0.8962600000000001,3.67424,0.45394,0.0016699999999999998,52.4,66.7,,2,0,0,0.0
015073,5.0,2.5825,0.97167,0.51171,3.32457,0.21416,0.01779,45.3,39.1,0.0,2,0,0,0.0
015075,3.0,1.61356,0.7522800000000001,0.57406,2.42472,0.2233,0.0,,,3.0,2,0,0,0.0
