Federal Provider Number,Count of Freedom from Abuse and Neglect and Exploitation Deficiencies,Count of Quality of Life and Care Deficiencies,Count of Resident Assessment and Care Planning Deficiencies,Count of Nursing and Physician Services Deficiencies,Count of Resident Rights Deficiencies,Count of Nutrition and Dietary Deficiencies,Count of Pharmacy Service Deficiencies,Count of Environmental Deficiencies,Count of Administration Deficiencies,Count of Infection Control Deficiencies
015009,0,0,0,0,1,0,0,0,0,2
015010,0,2,3,1,1,2,0,1,0,2
015012,0,1,0,0,1,5,1,1,0,2
015014,0,4,2,0,0,1,0,0,0,2
015015,0,2,3,2,1,2,0,0,0,0
015016,1,2,4,0,1,1,1,1,0,1
015019,1,1,2,1,1,2,2,0,0,1
015023,1,1,1,0,1,2,1,0,0,2
015024,0,1,0,0,2,4,0,0,0,3
015027,0,0,2,0,0,1,0,0,0,1
015028,0,0,1,0,1,2,0,0,0,2
015031,0,0,2,0,2,1,0,0,0,1
015032,4,3,2,0,0,1,0,0,4,1
015034,0,4,1,0,1,4,1,0,0,1
015035,0,1,1,0,0,1,0,1,0,1
015037,0,0,5,0,2,0,0,0,0,0
015040,1,1,3,0,8,3,2,0,0,1
015042,0,1,0,0,1,3,0,1,0,2
015044,0,1,2,0,2,2,0,0,0,2
015045,0,2,1,0,2,1,1,0,1,1
015047,0,0,2,0,1,4,1,4,0,1
015048,1,1,2,0,1,1,0,0,0,1
015049,0,1,3,0,2,0,0,0,0,1
015050,1,0,1,0,0,0,0,1,0,1
015053,1,0,0,0,0,0,0,1,0,0
015060,0,2,0,0,0,3,1,0,0,3
015063,1,3,1,0,0,1,0,1,0,1
015065,0,4,6,0,2,2,2,1,0,1
015066,1,2,0,0,0,0,0,0,0,1
015067,1,0,1,0,1,0,0,0,0,2
015071,0,0,1,0,0,2,0,0,0,1
015073,0,1,0,0,0,0,1,2,0,0
015075,0,1,1,0,2,1,1,0,0,0
015076,1,2,4,0,0,1,1,0,0,2
015083,0,0,4,0,2,3,1,0,0,1
015084,1,1,2,0,0,1,0,0,0,1
015089,0,0,1,0,2,1,0,0,0,2
015091,1,0,1,0,5,1,0,0,0,2
015097,0,2,0,0,0,1,0,0,0,2
015098,0,0,2,1,1,1,4,0,0,0
015100,0,2,1,0,2,1,1,0,0,1
015101,0,1,2,0,0,2,0,0,0,1
015103,0,3,0,0,5,2,0,0,1,0
015104,0,0,0,0,2,2,1,0,0,2
015109,0,0,2,1,3,2,2,0,0,0
015111,0,1,2,1,1,2,1,0,0,2
015112,0,1,1,0,0,2,1,0,0,0
015113,2,0,2,0,2,5,1,0,0,0
015114,0,0,0,0,1,1,0,0,0,2
015115,0,1,1,0,1,3,0,2,0,2
015116,1,4,0,0,1,1,1,0,0,1
015117,0,3,2,0,0,2,1,0,0,2
015119,0,0,2,0,0,1,0,0,0,2
015120,0,1,0,0,0,2,1,0,0,1
015121,0,0,0,0,0,0,0,0,0,0
015123,1,0,0,0,0,0,0,0,0,0
015124,0,3,1,0,1,2,1,1,0,1
015126,0,3,0,1,0,3,1,1,0,1
015127,1,2,1,0,3,0,1,2,1,1
015128,0,0,1,0,2,3,1,1,0,1
015129,0,0,1,0,1,0,1,0,0,0
015132,1,4,4,2,4,2,1,3,0,1
015133,1,3,4,0,1,3,2,0,0,3
015134,1,1,1,1,1,2,1,0,0,1
015135,0,0,1,1,0,1,0,0,0,1
015136,0,0,0,0,1,2,3,1,0,1
015137,1,0,1,0,1,3,0,1,0,1
015138,0,0,1,0,0,3,0,0,0,1
015139,0,1,0,0,2,0,1,0,0,0
015141,0,5,1,0,2,1,2,1,0,1
015142,0,1,1,0,0,2,0,0,0,1
015143,0,2,2,1,0,4,0,0,0,0
015144,1,5,3,1,2,1,1,0,3,1
015145,0,3,0,0,0,3,1,1,0,1
015147,0,0,2,0,0,3,1,0,0,1
015148,0,2,0,0,0,4,2,0,0,2
015149,0,2,1,0,0,3,1,1,0,2
015150,0,2,1,0,1,2,1,0,0,2
015151,0,0,2,1,0,0,1,0,0,2
015152,0,3,0,0,1,3,2,0,1,1
015153,0,0,5,0,2,1,0,0,0,2
015154,0,2,1,0,1,3,1,0,0,2
015155,0,0,0,0,0,2,0,0,0,2
015156,0,0,0,0,2,2,0,0,0,0
015157,0,0,0,0,0,0,0,0,0,1
015158,0,2,2,0,0,0,1,0,0,2
015159,0,2,0,0,1,1,0,0,0,2
015160,0,0,2,1,1,2,1,0,0,2
015162,0,3,1,0,0,2,2,0,0,2
015163,0,1,5,1,1,0,0,1,0,0
015164,1,0,0,0,1,1,1,0,0,1
015166,1,3,5,1,3,0,2,0,0,1
015167,0,1,2,2,2,2,0,1,0,1
015168,0,0,0,1,1,0,0,0,0,0
015169,0,2,2,0,1,3,0,0,0,2
015171,0,1,4,1,0,2,0,0,0,1
015174,0,3,5,1,4,5,2,2,0,2
015175,0,4,2,1,3,3,3,1,0,1
015176,0,2,4,0,1,1,1,0,0,3
015177,0,0,0,0,0,0,1,0,0,0
015178,1,1,2,2,2,4,1,0,1,0
015179,1,3,0,0,6,2,1,1,0,1
015180,0,1,3,0,0,1,1,0,0,0
015182,1,1,1,0,0,0,0,0,0,2
015183,2,4,3,0,4,0,2,1,1,0
015184,0,3,3,0,1,1,0,1,0,1
015186,0,0,2,0,1,4,0,0,0,1
015187,0,2,3,1,0,1,1,0,0,2
015188,0,2,5,0,0,1,0,0,0,1
015189,1,1,3,2,1,1,2,1,1,1
015191,0,0,3,0,2,2,0,0,0,0
015192,0,1,2,0,2,1,0,1,0,2
015193,0,0,1,0,0,2,1,0,0,1
015194,0,0,0,0,0,2,1,0,0,0
015195,2,3,3,0,1,2,2,3,0,2
015196,0,0,0,1,0,1,1,0,0,2
015197,2,1,2,1,2,2,2,0,0,1
015199,0,3,3,0,0,2,2,0,0,3
015200,0,2,0,0,0,2,0,1,0,0
015201,3,3,2,0,2,2,0,2,1,2
015202,0,2,1,0,1,1,0,0,0,2
015203,2,5,2,1,3,3,2,2,0,2
015204,0,1,1,0,1,0,1,0,1,0
015206,0,2,3,0,1,0,0,0,0,0
015207,1,4,2,0,0,2,0,1,1,1
015208,0,1,0,0,0,2,0,2,0,0
015209,0,5,5,0,3,1,2,0,0,1
015210,0,3,0,0,0,2,0,0,0,1
015211,0,1,0,1,0,0,1,0,0,1
015212,0,3,2,0,5,5,2,0,0,3
015213,0,6,0,1,2,3,1,2,0,1
015214,0,1,1,0,2,0,1,3,0,1
015215,0,1,1,2,0,3,0,2,0,0
015216,1,1,2,0,1,5,0,0,0,2
